,question,entity,triplet
1,武汉交通职业学院计算机协会有哪些学校？,武汉交通职业学院计算机协会,武汉交通职业学院计算机协会 ||| 学校 ||| 武汉交通职业学院
2,你知道龙晶用繁体字怎么写吗？,龙晶,龙晶（游戏） ||| 繁体 ||| 龍晶
3,无罪无我的和声是什么？,无罪无我,无罪无我 ||| 和声 ||| 章韵、徐晨辰
4,你知道影舞者的车身有多重吗？,影舞者,影舞者（《QQ飞车》中的赛车） ||| 车身重量 ||| 1232kg
5,冯慧专业是什么方向？,冯慧,冯慧（武汉大学教授） ||| 专业方向 ||| 偏微分方程数值解
6,你知道戴姆勒股份公司有多少员工吗？,戴姆勒股份公司,戴姆勒股份公司 ||| 员工数 ||| 298655 人(2020年)
7,谁知道魔力w.i.t.c.h.系列有哪些丛书？,魔力w.i.t.c.h.,魔力w.i.t.c.h. ||| 丛书系列 ||| 魔力w.i.t.c.h.100少女完全手册、魔力w.i.t.c.h.故事集、魔力w.i.t.c.h.小说《破碎的魔球》
8,谁知道端午节有什么重要意义？,端午节,端午节（中国四大传统节日之一） ||| 节日意义 ||| 传承与弘扬非物质文化
9,谁唱的风不息？,风不息,风不息（1995年郭富城发行的音乐专辑） ||| 歌手 ||| 郭富城
10,指点杆有什么组成？,指点杆,指点杆 ||| 组成部分 ||| 指点杆和鼠标键
11,请问李臻的新浪微博名称叫什么呢？,李臻,李臻（影视演员） ||| 新浪微博 ||| 李臻Jennifer
12,宁夏网是哪个组织主办的？,宁夏网,宁夏网 ||| 主办方 ||| 宁夏日报社
13,申时行是什么官职？,申时行,申时行 ||| 官职 ||| 礼部尚书兼文渊阁大学士
14,请问秦国大长公主的兄弟是谁？,秦国大长公主,秦国大长公主 ||| 兄弟 ||| 赵光济，宋太祖，宋太宗，赵光赞
15,陈氏祖祠何时修建？,陈氏祖祠,陈氏祖祠（广东省普宁市陈氏祖祠） ||| 修建时间 ||| 1925—1926年
16,美洲蜥蜴科是属于什么亚门的,美洲蜥蜴科,美洲蜥蜴科 ||| 亚门 ||| 脊椎动物亚门
17,熊猫看书这个游戏有多大？,熊猫看书,熊猫看书 ||| 软件大小 ||| 6.8MB
18,克努特是处于哪个朝代的？,克努特,克努特（欧洲中世纪历史人物） ||| 所处时代 ||| 中世纪
19,你知道中国古代的恶霸的定价是多少吗？,中国古代的恶霸,中国古代的恶霸 ||| 定价 ||| 12.5 元
20,六合村的方言是什么？,六合村,六合村（山西省太原市清徐县清源镇下辖村） ||| 方言 ||| 清徐方言
21,Adobe Photoshop是付费软件吗？,Adobe Photoshop,Adobe Photoshop ||| 软件授权 ||| 共享（盒装单许可售价 5000 元人民币）
22,孛儿只斤·拙赤合撒儿有什么特长？,孛儿只斤·拙赤合撒儿,孛儿只斤·拙赤合撒儿 ||| 特长 ||| 勇敢善射，矢无虚发，应弦而倒
23,请问武汉汉正街是什么时候修建的？,武汉汉正街,武汉汉正街 ||| 修建时间 ||| 乾隆四年（1739年）
24,你知道磨憨镇的代码吗？,磨憨镇,磨憨镇 ||| 代码 ||| 532823105
25,异鼠李素的分子量是多少？,异鼠李素,异鼠李素 ||| 分子量 ||| 316.2623
26,龙青高速公路哪里是起点？,龙青高速公路,龙青高速公路 ||| 起点 ||| 荣乌高速公路龙港南互通立交
27,请问谢芳是什么时候参加工作的？,谢芳,谢芳（园林高级工程师） ||| 参加工作 ||| 1989年8月
